FirstName,LastName,Username,Email,Password,DateOfBirth,PhoneNumber,Address,City,AcademicProgram
Son,Nguyen,son.nguyen74,son.nguyen74@student.sims.edu,,2004-08-28,555-1742,132 Nguyen Hue,Da Nang,Business
Phong,Vo,phong.vo75,phong.vo75@student.sims.edu,,2003-12-26,555-7565,439 Tran Phu,Ha Noi,Electronics
Khanh,Pham,khanh.pham76,khanh.pham76@student.sims.edu,,2005-08-02,555-9081,956 Hai Ba Trung,Hue,Information Technology
Tuan,Pham,tuan.pham77,tuan.pham77@student.sims.edu,,2005-11-06,555-4910,207 Tran Phu,Ha Noi,Physics
Binh,Tran,binh.tran78,binh.tran78@student.sims.edu,,2002-09-05,555-9047,610 Le Loi,Hai Phong,Electronics
Son,Le,son.le79,son.le79@student.sims.edu,,2001-10-13,555-2228,854 Nguyen Hue,Ha Noi,Business
Tam,Vo,tam.vo80,tam.vo80@student.sims.edu,,2001-07-21,555-6546,460 Hai Ba Trung,Hue,Mathematics
Thu,Duong,thu.duong81,thu.duong81@student.sims.edu,,2003-07-06,555-9633,600 Hai Ba Trung,Hue,Business
Nam,Vu,nam.vu82,nam.vu82@student.sims.edu,,2001-08-17,555-4372,998 Hai Ba Trung,Ho Chi Minh,Electronics
Chi,Huynh,chi.huynh83,chi.huynh83@student.sims.edu,,2004-02-28,555-1367,329 Le Loi,Can Tho,Computer Science
An,Nguyen,an.nguyen84,an.nguyen84@student.sims.edu,,2001-01-25,555-4172,110 Nguyen Hue,Hue,Electronics
Dung,Ho,dung.ho85,dung.ho85@student.sims.edu,,2004-06-06,555-2229,702 Le Loi,Nha Trang,Business
Lan,Duong,lan.duong86,lan.duong86@student.sims.edu,,2003-04-21,555-4732,685 Tran Phu,Hue,Physics
An,Ly,an.ly87,an.ly87@student.sims.edu,,2001-01-18,555-9788,617 Hai Ba Trung,Hue,Mathematics
Hoa,Bui,hoa.bui88,hoa.bui88@student.sims.edu,,2001-06-22,555-5719,775 Hai Ba Trung,Hue,Physics
Chi,Do,chi.do89,chi.do89@student.sims.edu,,2004-07-24,555-2165,586 Hai Ba Trung,Hai Phong,Physics
Thu,Vo,thu.vo90,thu.vo90@student.sims.edu,,2004-10-15,555-3526,214 Le Loi,Ha Noi,Information Technology
Dung,Bui,dung.bui91,dung.bui91@student.sims.edu,,2003-12-23,555-5451,91 Nguyen Hue,Ho Chi Minh,Mathematics
Tam,Nguyen,tam.nguyen92,tam.nguyen92@student.sims.edu,,2003-08-12,555-9441,361 Le Loi,Ha Noi,Information Technology
Trang,Dang,trang.dang93,trang.dang93@student.sims.edu,,2005-07-05,555-8787,514 Tran Phu,Nha Trang,Business
Chi,Do,chi.do94,chi.do94@student.sims.edu,,2004-12-03,555-1460,919 Tran Phu,Hai Phong,Physics
Ha,Duong,ha.duong95,ha.duong95@student.sims.edu,,2005-02-08,555-4002,262 Tran Phu,Ha Noi,Physics
Trang,Duong,trang.duong96,trang.duong96@student.sims.edu,,2005-09-13,555-2116,897 Nguyen Hue,Da Nang,Electronics
Linh,Huynh,linh.huynh97,linh.huynh97@student.sims.edu,,2005-02-22,555-3515,707 Le Loi,Hue,Electronics
Binh,Ly,binh.ly98,binh.ly98@student.sims.edu,,2001-07-19,555-3731,514 Tran Phu,Ho Chi Minh,Physics
An,Hoang,an.hoang99,an.hoang99@student.sims.edu,,2001-03-15,555-9022,231 Le Loi,Hue,Electronics
Quang,Dang,quang.dang100,quang.dang100@student.sims.edu,,2002-02-07,555-9915,716 Nguyen Hue,Ha Noi,Electronics
Minh,Bui,minh.bui101,minh.bui101@student.sims.edu,,2003-12-23,555-9491,327 Le Loi,Ho Chi Minh,Computer Science
Son,Ngo,son.ngo102,son.ngo102@student.sims.edu,,2004-04-08,555-4684,551 Tran Phu,Ha Noi,Electronics
Thu,Vu,thu.vu103,thu.vu103@student.sims.edu,,2005-01-10,555-9393,669 Nguyen Hue,Hai Phong,Computer Science
Mai,Bui,mai.bui104,mai.bui104@student.sims.edu,,2002-10-12,555-8146,154 Nguyen Hue,Ho Chi Minh,Physics
Son,Ly,son.ly105,son.ly105@student.sims.edu,,2003-11-22,555-6494,707 Nguyen Hue,Hue,Information Technology
Dung,Tran,dung.tran106,dung.tran106@student.sims.edu,,2002-08-14,555-6402,375 Le Loi,Can Tho,Computer Science
Hung,Nguyen,hung.nguyen107,hung.nguyen107@student.sims.edu,,2002-09-25,555-5207,340 Tran Phu,Ha Noi,Electronics
Vy,Dang,vy.dang108,vy.dang108@student.sims.edu,,2001-12-24,555-7401,926 Nguyen Hue,Hai Phong,Business
Dung,Do,dung.do109,dung.do109@student.sims.edu,,2002-12-22,555-8977,298 Nguyen Hue,Can Tho,Business
Bao,Vo,bao.vo110,bao.vo110@student.sims.edu,,2003-01-09,555-7018,370 Nguyen Hue,Can Tho,Information Technology
Yen,Le,yen.le111,yen.le111@student.sims.edu,,2004-12-27,555-7004,961 Hai Ba Trung,Ha Noi,Mathematics
Mai,Pham,mai.pham112,mai.pham112@student.sims.edu,,2001-04-02,555-5477,411 Nguyen Hue,Da Nang,Physics
Duc,Le,duc.le113,duc.le113@student.sims.edu,,2005-08-09,555-6136,254 Nguyen Hue,Ho Chi Minh,Physics
Quang,Bui,quang.bui114,quang.bui114@student.sims.edu,,2004-08-19,555-2501,636 Hai Ba Trung,Can Tho,Electronics
Yen,Le,yen.le115,yen.le115@student.sims.edu,,2004-05-26,555-8263,369 Tran Phu,Nha Trang,Computer Science
Nam,Dang,nam.dang116,nam.dang116@student.sims.edu,,2005-08-03,555-4507,38 Hai Ba Trung,Ha Noi,Computer Science
Quang,Hoang,quang.hoang117,quang.hoang117@student.sims.edu,,2001-11-28,555-8145,762 Le Loi,Nha Trang,Mathematics
Ha,Le,ha.le118,ha.le118@student.sims.edu,,2004-07-18,555-3854,581 Tran Phu,Da Nang,Electronics
Chi,Le,chi.le119,chi.le119@student.sims.edu,,2001-05-18,555-9694,399 Tran Phu,Can Tho,Business
Khanh,Ho,khanh.ho120,khanh.ho120@student.sims.edu,,2003-03-19,555-4717,108 Tran Phu,Da Nang,Mathematics
Tuan,Bui,tuan.bui121,tuan.bui121@student.sims.edu,,2002-07-02,555-6228,172 Hai Ba Trung,Hue,Mathematics
Nam,Le,nam.le122,nam.le122@student.sims.edu,,2003-07-09,555-2877,586 Hai Ba Trung,Ha Noi,Mathematics
Khanh,Vu,khanh.vu123,khanh.vu123@student.sims.edu,,2001-05-02,555-4503,284 Le Loi,Can Tho,Business
Ha,Bui,ha.bui124,ha.bui124@student.sims.edu,,2004-09-28,555-4107,46 Nguyen Hue,Can Tho,Information Technology
Khanh,Pham,khanh.pham125,khanh.pham125@student.sims.edu,,2004-09-01,555-2529,674 Tran Phu,Ha Noi,Mathematics
Phong,Nguyen,phong.nguyen126,phong.nguyen126@student.sims.edu,,2002-04-24,555-2532,279 Hai Ba Trung,Ho Chi Minh,Information Technology
Binh,Pham,binh.pham127,binh.pham127@student.sims.edu,,2003-12-28,555-3037,613 Hai Ba Trung,Nha Trang,Computer Science
Hoa,Tran,hoa.tran128,hoa.tran128@student.sims.edu,,2002-10-20,555-3442,292 Tran Phu,Ho Chi Minh,Mathematics
Binh,Pham,binh.pham129,binh.pham129@student.sims.edu,,2001-07-10,555-8185,720 Tran Phu,Ha Noi,Computer Science
Mai,Do,mai.do130,mai.do130@student.sims.edu,,2002-03-25,555-9670,222 Hai Ba Trung,Ha Noi,Computer Science
Chi,Hoang,chi.hoang131,chi.hoang131@student.sims.edu,,2005-06-12,555-2641,632 Le Loi,Ho Chi Minh,Electronics
Hung,Pham,hung.pham132,hung.pham132@student.sims.edu,,2004-07-14,555-3325,426 Nguyen Hue,Ho Chi Minh,Electronics
Yen,Do,yen.do133,yen.do133@student.sims.edu,,2002-12-06,555-4780,670 Le Loi,Hue,Physics
Bao,Duong,bao.duong134,bao.duong134@student.sims.edu,,2003-05-15,555-2192,934 Tran Phu,Hai Phong,Computer Science
Nga,Hoang,nga.hoang135,nga.hoang135@student.sims.edu,,2004-03-12,555-9210,625 Nguyen Hue,Ho Chi Minh,Mathematics
Duc,Pham,duc.pham136,duc.pham136@student.sims.edu,,2002-06-09,555-8254,784 Hai Ba Trung,Can Tho,Information Technology
Hoa,Ngo,hoa.ngo137,hoa.ngo137@student.sims.edu,,2001-08-13,555-7105,320 Hai Ba Trung,Hue,Information Technology
Quang,Vu,quang.vu138,quang.vu138@student.sims.edu,,2002-03-15,555-9814,612 Nguyen Hue,Can Tho,Information Technology
Tuan,Bui,tuan.bui139,tuan.bui139@student.sims.edu,,2001-01-23,555-5815,753 Nguyen Hue,Can Tho,Physics
Vy,Le,vy.le140,vy.le140@student.sims.edu,,2003-11-26,555-3346,757 Tran Phu,Nha Trang,Mathematics
Thu,Do,thu.do141,thu.do141@student.sims.edu,,2002-11-27,555-5184,297 Hai Ba Trung,Hai Phong,Electronics
Giang,Duong,giang.duong142,giang.duong142@student.sims.edu,,2003-08-27,555-8940,522 Nguyen Hue,Nha Trang,Business
Binh,Ly,binh.ly143,binh.ly143@student.sims.edu,,2002-01-12,555-9398,201 Hai Ba Trung,Hue,Business
Tuan,Ly,tuan.ly144,tuan.ly144@student.sims.edu,,2004-03-02,555-8090,944 Tran Phu,Nha Trang,Information Technology
Hoa,Ho,hoa.ho145,hoa.ho145@student.sims.edu,,2005-01-26,555-4644,737 Tran Phu,Ha Noi,Electronics
Bao,Pham,bao.pham146,bao.pham146@student.sims.edu,,2004-11-06,555-5358,922 Le Loi,Ha Noi,Business
Hung,Do,hung.do147,hung.do147@student.sims.edu,,2005-03-10,555-6943,889 Hai Ba Trung,Hai Phong,Mathematics
Dung,Bui,dung.bui148,dung.bui148@student.sims.edu,,2004-10-16,555-8133,744 Tran Phu,Hai Phong,Business
Linh,Dang,linh.dang149,linh.dang149@student.sims.edu,,2003-03-23,555-4059,118 Le Loi,Nha Trang,Electronics
Nga,Pham,nga.pham150,nga.pham150@student.sims.edu,,2002-08-26,555-2008,454 Le Loi,Hai Phong,Physics
Trang,Vo,trang.vo151,trang.vo151@student.sims.edu,,2001-06-26,555-8906,30 Nguyen Hue,Hue,Mathematics
Nga,Vu,nga.vu152,nga.vu152@student.sims.edu,,2004-02-25,555-2693,368 Le Loi,Hai Phong,Mathematics
Nga,Nguyen,nga.nguyen153,nga.nguyen153@student.sims.edu,,2001-04-07,555-7779,787 Hai Ba Trung,Da Nang,Business
Minh,Do,minh.do154,minh.do154@student.sims.edu,,2003-12-20,555-6039,368 Hai Ba Trung,Ho Chi Minh,Business
Binh,Vo,binh.vo155,binh.vo155@student.sims.edu,,2001-02-17,555-2499,513 Tran Phu,Da Nang,Business
Minh,Nguyen,minh.nguyen156,minh.nguyen156@student.sims.edu,,2002-05-26,555-8173,89 Nguyen Hue,Can Tho,Electronics
Minh,Tran,minh.tran157,minh.tran157@student.sims.edu,,2005-03-27,555-8577,486 Le Loi,Ha Noi,Business
Hung,Ly,hung.ly158,hung.ly158@student.sims.edu,,2001-11-26,555-7968,858 Hai Ba Trung,Ha Noi,Mathematics
Chi,Bui,chi.bui159,chi.bui159@student.sims.edu,,2005-11-04,555-6887,244 Le Loi,Ho Chi Minh,Mathematics
Thu,Ngo,thu.ngo160,thu.ngo160@student.sims.edu,,2004-11-21,555-2306,847 Tran Phu,Ho Chi Minh,Electronics
An,Ho,an.ho161,an.ho161@student.sims.edu,,2005-11-12,555-8683,767 Tran Phu,Da Nang,Business
Hoa,Ngo,hoa.ngo162,hoa.ngo162@student.sims.edu,,2001-12-16,555-2984,746 Tran Phu,Can Tho,Mathematics
Binh,Le,binh.le163,binh.le163@student.sims.edu,,2001-08-15,555-5912,348 Nguyen Hue,Can Tho,Physics
Dung,Dang,dung.dang164,dung.dang164@student.sims.edu,,2002-03-15,555-1919,232 Le Loi,Da Nang,Mathematics
Phong,Vu,phong.vu165,phong.vu165@student.sims.edu,,2001-04-13,555-8585,971 Le Loi,Nha Trang,Business
Quyen,Vo,quyen.vo166,quyen.vo166@student.sims.edu,,2002-06-24,555-9672,954 Nguyen Hue,Nha Trang,Computer Science
Minh,Pham,minh.pham167,minh.pham167@student.sims.edu,,2005-02-21,555-7564,619 Le Loi,Hue,Physics
Vy,Hoang,vy.hoang168,vy.hoang168@student.sims.edu,,2002-02-24,555-7703,888 Tran Phu,Ho Chi Minh,Physics
Minh,Pham,minh.pham169,minh.pham169@student.sims.edu,,2003-08-20,555-3187,85 Nguyen Hue,Can Tho,Computer Science
Lan,Duong,lan.duong170,lan.duong170@student.sims.edu,,2001-10-04,555-9730,670 Tran Phu,Da Nang,Business
Khanh,Vo,khanh.vo171,khanh.vo171@student.sims.edu,,2004-05-05,555-4896,178 Le Loi,Da Nang,Information Technology
Duc,Huynh,duc.huynh172,duc.huynh172@student.sims.edu,,2005-11-07,555-2532,471 Le Loi,Ho Chi Minh,Mathematics
Bao,Tran,bao.tran173,bao.tran173@student.sims.edu,,2001-01-12,555-2947,538 Nguyen Hue,Nha Trang,Computer Science
Hai,Dang,hai.dang174,hai.dang174@student.sims.edu,,2002-01-23,555-3194,743 Tran Phu,Da Nang,Business
Mai,Ly,mai.ly175,mai.ly175@student.sims.edu,,2001-03-10,555-9093,994 Tran Phu,Ho Chi Minh,Computer Science
An,Vo,an.vo176,an.vo176@student.sims.edu,,2001-12-21,555-9752,510 Tran Phu,Can Tho,Mathematics
Hoa,Ly,hoa.ly177,hoa.ly177@student.sims.edu,,2005-06-04,555-6756,544 Le Loi,Can Tho,Electronics
Hoa,Pham,hoa.pham178,hoa.pham178@student.sims.edu,,2004-01-03,555-8305,13 Hai Ba Trung,Can Tho,Physics
Nam,Vu,nam.vu179,nam.vu179@student.sims.edu,,2002-12-10,555-5100,711 Hai Ba Trung,Ha Noi,Business
Binh,Vu,binh.vu180,binh.vu180@student.sims.edu,,2005-04-04,555-8787,705 Tran Phu,Hai Phong,Information Technology
Vy,Vo,vy.vo181,vy.vo181@student.sims.edu,,2003-02-26,555-5731,593 Le Loi,Ho Chi Minh,Information Technology
Nam,Do,nam.do182,nam.do182@student.sims.edu,,2005-06-11,555-6279,534 Hai Ba Trung,Ho Chi Minh,Computer Science
Thu,Le,thu.le183,thu.le183@student.sims.edu,,2005-08-01,555-4136,844 Le Loi,Ho Chi Minh,Computer Science
Hoa,Vo,hoa.vo184,hoa.vo184@student.sims.edu,,2002-06-16,555-7374,265 Le Loi,Nha Trang,Mathematics
Binh,Vu,binh.vu185,binh.vu185@student.sims.edu,,2004-02-09,555-8660,207 Tran Phu,Nha Trang,Electronics
Tuan,Do,tuan.do186,tuan.do186@student.sims.edu,,2002-11-01,555-9510,949 Tran Phu,Da Nang,Mathematics
Ngoc,Duong,ngoc.duong187,ngoc.duong187@student.sims.edu,,2003-11-13,555-6854,311 Le Loi,Can Tho,Physics
Linh,Vu,linh.vu188,linh.vu188@student.sims.edu,,2005-11-10,555-2815,653 Le Loi,Ha Noi,Computer Science
Quyen,Huynh,quyen.huynh189,quyen.huynh189@student.sims.edu,,2003-11-06,555-5142,949 Tran Phu,Ho Chi Minh,Physics
Ha,Pham,ha.pham190,ha.pham190@student.sims.edu,,2002-06-12,555-9011,441 Nguyen Hue,Da Nang,Physics
Phong,Ho,phong.ho191,phong.ho191@student.sims.edu,,2004-01-19,555-1125,8 Nguyen Hue,Da Nang,Business
Ngoc,Tran,ngoc.tran192,ngoc.tran192@student.sims.edu,,2003-05-07,555-5820,141 Tran Phu,Da Nang,Information Technology
Ha,Huynh,ha.huynh193,ha.huynh193@student.sims.edu,,2004-01-16,555-7138,159 Hai Ba Trung,Nha Trang,Business
Trang,Bui,trang.bui194,trang.bui194@student.sims.edu,,2001-01-12,555-7941,101 Hai Ba Trung,Ha Noi,Information Technology
Hai,Bui,hai.bui195,hai.bui195@student.sims.edu,,2002-07-02,555-7956,557 Tran Phu,Ha Noi,Electronics
Bao,Ngo,bao.ngo196,bao.ngo196@student.sims.edu,,2001-09-07,555-9000,116 Nguyen Hue,Hue,Electronics
Quang,Tran,quang.tran197,quang.tran197@student.sims.edu,,2005-04-20,555-3714,476 Le Loi,Hue,Computer Science
Thu,Ho,thu.ho198,thu.ho198@student.sims.edu,,2002-09-02,555-6299,392 Hai Ba Trung,Ha Noi,Electronics
Mai,Pham,mai.pham199,mai.pham199@student.sims.edu,,2001-12-23,555-8882,16 Le Loi,Hue,Computer Science
Son,Le,son.le200,son.le200@student.sims.edu,,2005-10-12,555-6055,166 Hai Ba Trung,Hue,Information Technology
Tam,Pham,tam.pham201,tam.pham201@student.sims.edu,,2005-09-08,555-9393,546 Le Loi,Hue,Mathematics
Phong,Pham,phong.pham202,phong.pham202@student.sims.edu,,2001-04-13,555-6679,470 Hai Ba Trung,Hue,Electronics
Bao,Nguyen,bao.nguyen203,bao.nguyen203@student.sims.edu,,2005-01-18,555-1115,925 Hai Ba Trung,Ha Noi,Electronics
An,Ngo,an.ngo204,an.ngo204@student.sims.edu,,2004-08-04,555-9435,534 Nguyen Hue,Hue,Business
Thao,Ly,thao.ly205,thao.ly205@student.sims.edu,,2004-08-04,555-9022,165 Le Loi,Hai Phong,Mathematics
Dung,Ngo,dung.ngo206,dung.ngo206@student.sims.edu,,2004-03-16,555-8270,581 Tran Phu,Nha Trang,Information Technology
Dung,Bui,dung.bui207,dung.bui207@student.sims.edu,,2002-10-15,555-2461,973 Hai Ba Trung,Hai Phong,Business
Mai,Pham,mai.pham208,mai.pham208@student.sims.edu,,2002-06-20,555-9331,594 Tran Phu,Can Tho,Computer Science
Ngoc,Dang,ngoc.dang209,ngoc.dang209@student.sims.edu,,2001-04-03,555-5197,230 Le Loi,Da Nang,Computer Science
Ha,Nguyen,ha.nguyen210,ha.nguyen210@student.sims.edu,,2004-12-26,555-1464,144 Nguyen Hue,Da Nang,Electronics
Son,Pham,son.pham211,son.pham211@student.sims.edu,,2005-05-06,555-7891,80 Tran Phu,Ha Noi,Business
Nam,Le,nam.le212,nam.le212@student.sims.edu,,2003-12-23,555-7142,456 Hai Ba Trung,Can Tho,Electronics
